"scenario_id","pathogen","intervention","e_max_mult","delay_max","antiviral_start","n_sim","p_epidemic","mean_infected","median_infected","q25_infected","q75_infected"
1,"H1N1","Mild",0,1,0,500,0.316,45.492,5,1,97
2,"SARS-CoV-2","Mild",0,1,0,500,0.758,61.806,67,32.75,89.25
3,"H1N1","Moderate",0,1,0,500,0,2.428,1,1,1
4,"SARS-CoV-2","Moderate",0,1,0,500,0.002,3.392,1,1,2
5,"H1N1","Intensive",0,1,0,500,0,1.862,1,1,1
6,"SARS-CoV-2","Intensive",0,1,0,500,0,2.23,1,1,2
7,"H1N1","Maximum",0,1,0,500,0,1.434,1,1,1
8,"SARS-CoV-2","Maximum",0,1,0,500,0,1.768,1,1,2
9,"H1N1","Mild",0.25,1,0,500,0.282,48.266,4,1,97.5
10,"SARS-CoV-2","Mild",0.25,1,0,500,0.73,63.23,69,6,95
11,"H1N1","Moderate",0.25,1,0,500,0,2.206,1,1,1
12,"SARS-CoV-2","Moderate",0.25,1,0,500,0,2.244,1,1,2
13,"H1N1","Intensive",0.25,1,0,500,0,1.36,1,1,1
14,"SARS-CoV-2","Intensive",0.25,1,0,500,0,1.76,1,1,2
15,"H1N1","Maximum",0.25,1,0,500,0,1.396,1,1,1
16,"SARS-CoV-2","Maximum",0.25,1,0,500,0,1.494,1,1,2
17,"H1N1","Mild",0.5,1,0,500,0.224,43.956,3,1,27.25
18,"SARS-CoV-2","Mild",0.5,1,0,500,0.668,63.514,71,3,100
19,"H1N1","Moderate",0.5,1,0,500,0,1.702,1,1,1
20,"SARS-CoV-2","Moderate",0.5,1,0,500,0,2.086,1,1,1
21,"H1N1","Intensive",0.5,1,0,500,0,1.3,1,1,1
22,"SARS-CoV-2","Intensive",0.5,1,0,500,0,1.46,1,1,1
23,"H1N1","Maximum",0.5,1,0,500,0,1.274,1,1,1
24,"SARS-CoV-2","Maximum",0.5,1,0,500,0,1.364,1,1,1
25,"H1N1","Mild",0.75,1,0,500,0.148,43.15,2,1,15
26,"SARS-CoV-2","Mild",0.75,1,0,500,0.57,58.818,59,2,103
27,"H1N1","Moderate",0.75,1,0,500,0,1.686,1,1,1
28,"SARS-CoV-2","Moderate",0.75,1,0,500,0,1.712,1,1,1
29,"H1N1","Intensive",0.75,1,0,500,0,1.248,1,1,1
30,"SARS-CoV-2","Intensive",0.75,1,0,500,0,1.3,1,1,1
31,"H1N1","Maximum",0.75,1,0,500,0,1.196,1,1,1
32,"SARS-CoV-2","Maximum",0.75,1,0,500,0,1.226,1,1,1
33,"H1N1","Mild",1,1,0,500,0.058,23.256,2,1,7
34,"SARS-CoV-2","Mild",1,1,0,500,0.444,53.974,9.5,2,105.25
35,"H1N1","Moderate",1,1,0,500,0,1.604,1,1,1
36,"SARS-CoV-2","Moderate",1,1,0,500,0,1.69,1,1,1
37,"H1N1","Intensive",1,1,0,500,0,1.228,1,1,1
38,"SARS-CoV-2","Intensive",1,1,0,500,0,1.232,1,1,1
39,"H1N1","Maximum",1,1,0,500,0,1.132,1,1,1
40,"SARS-CoV-2","Maximum",1,1,0,500,0,1.196,1,1,1
41,"H1N1","Mild",0,4,0,500,0.316,45.492,5,1,97
42,"SARS-CoV-2","Mild",0,4,0,500,0.758,61.806,67,32.75,89.25
43,"H1N1","Moderate",0,4,0,500,0.034,16.494,1,1,5
44,"SARS-CoV-2","Moderate",0,4,0,500,0.008,6.538,1,1,3
45,"H1N1","Intensive",0,4,0,500,0,3.752,1,1,3
46,"SARS-CoV-2","Intensive",0,4,0,500,0,2.834,1,1,3
47,"H1N1","Maximum",0,4,0,500,0,2.144,1,1,3
48,"SARS-CoV-2","Maximum",0,4,0,500,0,2.18,1,1,2
49,"H1N1","Mild",0.25,4,0,500,0.32,49.646,4,1,105
50,"SARS-CoV-2","Mild",0.25,4,0,500,0.75,62.88,67,20,92
51,"H1N1","Moderate",0.25,4,0,500,0.016,12.256,1,1,4
52,"SARS-CoV-2","Moderate",0.25,4,0,500,0.002,6.372,1,1,3
53,"H1N1","Intensive",0.25,4,0,500,0,2.574,1,1,3
54,"SARS-CoV-2","Intensive",0.25,4,0,500,0,2.436,1,1,2
55,"H1N1","Maximum",0.25,4,0,500,0,2.18,1,1,2
56,"SARS-CoV-2","Maximum",0.25,4,0,500,0,1.988,1,1,2
57,"H1N1","Mild",0.5,4,0,500,0.276,45.58,4,1,94.25
58,"SARS-CoV-2","Mild",0.5,4,0,500,0.724,64.136,69,5.75,96
59,"H1N1","Moderate",0.5,4,0,500,0,5.686,1,1,3
60,"SARS-CoV-2","Moderate",0.5,4,0,500,0,3.396,1,1,2
61,"H1N1","Intensive",0.5,4,0,500,0,2.45,1,1,2
62,"SARS-CoV-2","Intensive",0.5,4,0,500,0,2.074,1,1,2
63,"H1N1","Maximum",0.5,4,0,500,0,2.018,1,1,2
64,"SARS-CoV-2","Maximum",0.5,4,0,500,0,1.752,1,1,2
65,"H1N1","Mild",0.75,4,0,500,0.236,45.19,3,1,35.25
66,"SARS-CoV-2","Mild",0.75,4,0,500,0.68,62.03,68,3,97.25
67,"H1N1","Moderate",0.75,4,0,500,0,4.902,1,1,3
68,"SARS-CoV-2","Moderate",0.75,4,0,500,0,2.916,1,1,2
69,"H1N1","Intensive",0.75,4,0,500,0,2.468,1,1,2
70,"SARS-CoV-2","Intensive",0.75,4,0,500,0,1.944,1,1,2
71,"H1N1","Maximum",0.75,4,0,500,0,2.078,1,1,2
72,"SARS-CoV-2","Maximum",0.75,4,0,500,0,1.662,1,1,2
